Designator,Mid X,Mid Y,Rotation,Layer
C1,86.15,-50.48,30.0,top
C2,90.53,-67.54,0.0,top
C3,84.95,-81.61,320.0,top
C4,70.99,-90.51,290.0,top
C5,55.28,-89.66,250.0,top
C6,42.33,-79.08,210.0,top
C7,38.39,-62.9,180.0,top
C8,44.89,-47.87,140.0,top
C9,60.71,-39.2,110.0,top
J1,27.994234,-54.885677,288.0,top
J2,64.5,-22.886273,216.0,top
J3,101.005765,-54.885677,144.0,top
J4,84.135255,-92.334152,72.0,top
J5,44.864745,-92.334152,0.0,top
ROW1,73.92,-40.73,250.0,top
WS2812B1,64.72,-36.98,120.0,top
WS2812B10,48.13,-42.71,170.0,top
WS2812B2,80.95,-42.49,90.0,top
WS2812B3,91.26,-56.49,50.0,top
WS2812B4,91.16,-73.87,20.0,top
WS2812B5,80.98,-87.93,340.0,top
WS2812B6,64.5,-93.21,310.0,top
WS2812B7,48.03,-87.88,270.0,top
WS2812B8,37.9,-73.88,240.0,top
WS2812B9,37.9,-56.58,200.0,top
