Designator,Mid X,Mid Y,Rotation,Layer
J7,68.0,-50.5,0.0,bottom
J8,53.75,-56.5,0.0,bottom
J9,39.25,-62.5,0.0,bottom
LED1,26.75,-44.2,180.0,top
LED10,26.75,-89.2,180.0,top
LED100,71.75,-74.2,0.0,top
LED101,71.75,-69.2,0.0,top
LED102,71.75,-64.2,0.0,top
LED103,71.75,-59.2,0.0,top
LED104,71.75,-54.2,0.0,top
LED105,71.75,-49.2,0.0,top
LED106,71.75,-44.2,0.0,top
LED107,71.75,-39.2,0.0,top
LED108,71.75,-34.2,0.0,top
LED109,71.75,-29.2,0.0,top
LED11,31.75,-89.2,0.0,top
LED110,71.75,-24.2,0.0,top
LED111,76.75,-29.2,180.0,top
LED112,76.75,-34.2,180.0,top
LED113,76.75,-39.2,180.0,top
LED114,76.75,-44.2,180.0,top
LED115,76.75,-49.2,180.0,top
LED116,76.75,-54.2,180.0,top
LED117,76.75,-59.2,180.0,top
LED118,76.75,-64.2,180.0,top
LED119,76.75,-69.2,180.0,top
LED12,31.75,-84.2,0.0,top
LED13,31.75,-79.2,0.0,top
LED14,31.75,-74.2,0.0,top
LED15,31.75,-69.2,0.0,top
LED16,31.75,-64.2,0.0,top
LED17,31.75,-59.2,0.0,top
LED18,31.75,-54.2,0.0,top
LED19,31.75,-49.2,0.0,top
LED2,26.75,-49.2,180.0,top
LED20,31.75,-44.2,0.0,top
LED21,31.75,-39.2,0.0,top
LED22,36.75,-39.2,180.0,top
LED23,36.75,-44.2,180.0,top
LED24,36.75,-49.2,180.0,top
LED25,36.75,-54.2,180.0,top
LED26,36.75,-59.2,180.0,top
LED27,36.75,-64.2,180.0,top
LED28,36.75,-69.2,180.0,top
LED29,36.75,-74.2,180.0,top
LED3,26.75,-54.2,180.0,top
LED30,36.75,-79.2,180.0,top
LED31,36.75,-84.2,180.0,top
LED32,36.75,-89.2,180.0,top
LED33,41.75,-84.2,0.0,top
LED34,41.75,-79.2,0.0,top
LED35,41.75,-74.2,0.0,top
LED36,41.75,-69.2,0.0,top
LED37,41.75,-64.2,0.0,top
LED38,41.75,-59.2,0.0,top
LED39,41.75,-54.2,0.0,top
LED4,26.75,-59.2,180.0,top
LED40,41.75,-49.2,0.0,top
LED41,41.75,-44.2,0.0,top
LED42,41.75,-39.2,0.0,top
LED43,41.75,-34.2,0.0,top
LED44,46.75,-34.2,180.0,top
LED45,46.75,-39.2,180.0,top
LED46,46.75,-44.2,180.0,top
LED47,46.75,-49.2,180.0,top
LED48,46.75,-54.2,180.0,top
LED49,46.75,-59.2,180.0,top
LED5,26.75,-64.2,180.0,top
LED50,46.75,-64.2,180.0,top
LED51,46.75,-69.2,180.0,top
LED52,46.75,-74.2,180.0,top
LED53,46.75,-79.2,180.0,top
LED54,46.75,-84.2,180.0,top
LED55,51.75,-84.2,0.0,top
LED56,51.75,-79.2,0.0,top
LED57,51.75,-74.2,0.0,top
LED58,51.75,-69.2,0.0,top
LED59,51.75,-64.2,0.0,top
LED6,26.75,-69.2,180.0,top
LED60,51.75,-59.2,0.0,top
LED61,51.75,-54.2,0.0,top
LED62,51.75,-49.2,0.0,top
LED63,51.75,-44.2,0.0,top
LED64,51.75,-39.2,0.0,top
LED65,51.75,-34.2,0.0,top
LED66,56.75,-29.2,180.0,top
LED67,56.75,-34.2,180.0,top
LED68,56.75,-39.2,180.0,top
LED69,56.75,-44.2,180.0,top
LED7,26.75,-74.2,180.0,top
LED70,56.75,-49.2,180.0,top
LED71,56.75,-54.2,180.0,top
LED72,56.75,-59.2,180.0,top
LED73,56.75,-64.2,180.0,top
LED74,56.75,-69.2,180.0,top
LED75,56.75,-74.2,180.0,top
LED76,56.75,-79.2,180.0,top
LED77,61.75,-79.2,0.0,top
LED78,61.75,-74.2,0.0,top
LED79,61.75,-69.2,0.0,top
LED8,26.75,-79.2,180.0,top
LED80,61.75,-64.2,0.0,top
LED81,61.75,-59.2,0.0,top
LED82,61.75,-54.2,0.0,top
LED83,61.75,-49.2,0.0,top
LED84,61.75,-44.2,0.0,top
LED85,61.75,-39.2,0.0,top
LED86,61.75,-34.2,0.0,top
LED87,61.75,-29.2,0.0,top
LED88,66.75,-24.2,180.0,top
LED89,66.75,-29.2,180.0,top
LED9,26.75,-84.2,180.0,top
LED90,66.75,-34.2,180.0,top
LED91,66.75,-39.2,180.0,top
LED92,66.75,-44.2,180.0,top
LED93,66.75,-49.2,180.0,top
LED94,66.75,-54.2,180.0,top
LED95,66.75,-59.2,180.0,top
LED96,66.75,-64.2,180.0,top
LED97,66.75,-69.2,180.0,top
LED98,66.75,-74.2,180.0,top
LED99,66.75,-79.2,180.0,top
ROW1,23.9,-45.7,270.0,top
ROW2,23.9,-87.72,90.0,top
ROW3,34.7,-90.9,90.0,top
ROW4,43.6,-87.6,90.0,top
ROW5,54.8,-82.8,90.0,top
ROW6,74.8,-72.7,90.0,top
