Designator,Mid X,Mid Y,Rotation,Layer
IN ,41.925,-41.2,90.0,top
J1,50.323939,-56.005499,0.0,bottom
J2,50.375,-71.9,270.0,bottom
LED10,35.05,-43.75,180.0,top
LED100,50.35,-104.95,180.0,top
LED101,50.35,-109.8,0.0,top
LED11,40.15,-43.75,180.0,top
LED12,45.25,-43.75,180.0,top
LED13,50.35,-43.75,180.0,top
LED14,55.45,-43.75,180.0,top
LED15,60.55,-43.75,180.0,top
LED16,65.65,-43.75,180.0,top
LED17,70.75,-48.85,0.0,top
LED18,65.65,-48.85,0.0,top
LED19,60.55,-48.85,0.0,top
LED2,45.25,-33.55,180.0,top
LED20,55.45,-48.85,0.0,top
LED21,50.35,-48.85,0.0,top
LED22,45.25,-48.85,0.0,top
LED23,40.15,-48.85,0.0,top
LED24,35.05,-48.85,0.0,top
LED25,29.95,-48.85,0.0,top
LED27,24.85,-53.95,180.0,top
LED28,29.95,-53.95,180.0,top
LED29,35.05,-53.95,180.0,top
LED3,50.35,-33.55,180.0,top
LED30,40.15,-53.95,180.0,top
LED31,45.25,-53.95,180.0,top
LED32,50.35,-53.95,180.0,top
LED33,55.45,-53.95,180.0,top
LED34,60.55,-53.95,180.0,top
LED35,65.65,-53.95,180.0,top
LED36,70.75,-53.95,180.0,top
LED37,75.85,-53.95,180.0,top
LED39,75.85,-59.05,0.0,top
LED4,55.45,-33.55,180.0,top
LED40,70.75,-59.05,0.0,top
LED41,65.65,-59.05,0.0,top
LED42,60.55,-59.05,0.0,top
LED43,55.45,-59.05,0.0,top
LED44,50.35,-59.05,0.0,top
LED45,45.25,-59.05,0.0,top
LED46,40.15,-59.05,0.0,top
LED47,35.05,-59.05,0.0,top
LED48,29.95,-59.05,0.0,top
LED49,24.85,-59.05,0.0,top
LED5,60.55,-38.65,0.0,top
LED50,24.85,-64.15,180.0,top
LED51,29.95,-64.15,180.0,top
LED52,35.05,-64.15,180.0,top
LED53,40.15,-64.15,180.0,top
LED54,45.25,-64.15,180.0,top
LED55,50.35,-64.15,180.0,top
LED56,55.45,-64.15,180.0,top
LED57,60.55,-64.15,180.0,top
LED58,65.65,-64.15,180.0,top
LED59,70.75,-64.15,180.0,top
LED6,55.45,-38.65,0.0,top
LED60,75.85,-64.15,180.0,top
LED61,70.75,-69.25,0.0,top
LED62,65.65,-69.25,0.0,top
LED63,60.55,-69.25,0.0,top
LED64,55.45,-69.25,0.0,top
LED65,50.35,-69.25,0.0,top
LED66,45.25,-69.25,0.0,top
LED67,40.15,-69.25,0.0,top
LED68,35.05,-69.25,0.0,top
LED69,29.95,-69.25,0.0,top
LED7,50.35,-38.65,0.0,top
LED70,29.95,-74.35,180.0,top
LED71,35.05,-74.35,180.0,top
LED72,40.15,-74.35,180.0,top
LED73,45.25,-74.35,180.0,top
LED74,50.35,-74.35,180.0,top
LED75,55.45,-74.35,180.0,top
LED76,60.55,-74.35,180.0,top
LED77,65.65,-74.35,180.0,top
LED78,70.75,-74.35,180.0,top
LED79,65.65,-79.45,0.0,top
LED8,45.25,-38.65,0.0,top
LED80,60.55,-79.45,0.0,top
LED81,55.45,-79.45,0.0,top
LED82,50.35,-79.45,0.0,top
LED83,45.25,-79.45,0.0,top
LED84,40.15,-79.45,0.0,top
LED85,35.05,-79.45,0.0,top
LED86,40.15,-84.55,180.0,top
LED87,45.25,-84.55,180.0,top
LED88,50.35,-84.55,180.0,top
LED89,55.45,-84.55,180.0,top
LED9,40.15,-38.65,0.0,top
LED90,60.55,-84.55,180.0,top
LED91,55.45,-89.65,0.0,top
LED92,50.35,-89.65,0.0,top
LED93,45.25,-89.65,0.0,top
LED94,45.25,-94.75,180.0,top
LED95,50.35,-94.75,180.0,top
LED96,55.45,-94.75,180.0,top
LED97,55.45,-99.85,0.0,top
LED98,50.35,-99.85,0.0,top
LED99,45.25,-99.85,0.0,top
OUT,57.215,-41.1,270.0,top
ROW2,41.7,-35.5,0.0,top
ROW3,27.6,-47.02,270.0,top
ROW4,27.4,-55.7,90.0,top
ROW5,26.4,-67.3,0.0,top
ROW6,31.5,-77.5,0.0,top
ROW7,41.7,-87.7,0.0,top
ROW8,46.2,-106.1,0.0,top
