Designator,Mid X,Mid Y,Rotation,Layer
C1,154.49,-102.87,0.0,top
C2,174.31,-134.09,90.0,top
C3,157.27,-167.18,45.0,top
C4,115.0,-172.31,135.0,top
C5,98.31,-136.55,270.0,top
J1,115.335577,-90.084989,0.0,top
J2,164.057017,-99.252274,300.0,top
J3,186.474191,-138.088845,240.0,top
J4,157.394423,-180.585011,180.0,top
J5,108.462982,-171.417725,120.0,top
J6,85.923557,-132.603975,60.0,top
R1,124.685,-115.748327,120.0,top
R10,158.95,-135.62,0.0,top
R11,156.28,-134.18,0.0,top
R12,156.31,-135.62,0.0,top
R13,147.92,-154.81,300.0,top
R14,146.79,-155.42,300.0,top
R15,146.65,-152.68,300.0,top
R16,145.6,-153.23,300.0,top
R17,126.17,-155.71,240.0,top
R18,125.13,-155.13,240.0,top
R19,127.42,-153.46,240.0,top
R2,125.835,-115.108327,120.0,top
R20,126.45,-152.9,240.0,top
R21,113.52,-136.12,180.0,top
R22,113.51,-134.84,180.0,top
R23,116.09,-136.11,180.0,top
R24,116.12,-134.82,180.0,top
R3,125.94,-117.99,120.0,top
R4,127.06,-117.37,120.0,top
R5,147.48,-115.53,60.0,top
R6,148.53,-116.11,60.0,top
R7,146.13,-117.77,60.0,top
R8,147.19,-118.41,60.0,top
R9,158.93,-134.23,0.0,top
ROW1,116.32,-104.47,45.0,top
TP11,148.69,-167.38,0.0,top
TP13,114.13,-162.43,0.0,top
TP15,102.27,-129.3,0.0,top
TP3,115.96,-112.36,0.0,top
TP4,124.41,-103.4,0.0,top
TP7,158.14,-108.92,0.0,top
TP8,170.28,-140.71,0.0,top
WS2812B1,120.133238,-107.366058,210.0,top
WS2812B2,152.383238,-107.366058,150.0,top
WS2812B3,168.55,-135.31,90.0,top
WS2812B4,152.553238,-163.246058,30.0,top
WS2812B5,120.09,-163.32,330.0,top
WS2812B6,103.97,-135.36,270.0,top
